X,Y,OBJECTID,SENSOR_UNIQUE_ID,GPSX,GPSY,MTYPE,SENSOR_STATUS,PMZ,PMZ2,ADDRESS_SPACE,TOOLTIP,NLA_URL
-118.260818119599,34.0340759010549,8089,CB404,-118.260806,34.034071,IPS,3,CB,CB4,1401 S LOS ANGELES ST,Address Space: 1401 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB404\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8089
-118.260762290494,34.0341444297071,8090,CB403,-118.26075,34.03414,IPS,3,CB,CB4,1401 S LOS ANGELES ST,Address Space: 1401 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB403\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8090
-118.260726182639,34.0341900691861,8091,CB402,-118.260714,34.034185,IPS,3,CB,CB4,1401 S LOS ANGELES ST,Address Space: 1401 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB402\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8091
-118.260677205811,34.0342499193027,8092,CB401,-118.260665,34.034245,IPS,3,CB,CB4,1401 S LOS ANGELES ST,Address Space: 1401 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB401\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8092
-118.260642942627,34.0342940248785,8093,CB400,-118.260631,34.034289,IPS,3,CB,CB4,1401 S LOS ANGELES ST,Address Space: 1401 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB400\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8093
-118.260786715009,34.0338228013646,8094,CB418,-118.260775,34.033818,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB418\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8094
-118.260734896555,34.0338873726412,8095,CB419,-118.260723,34.033882,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB419\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8095
-118.260695922109,34.0339335961817,8096,CB420,-118.260684,34.033929,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB420\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8096
-118.260607727014,34.0340437758894,8097,CB421,-118.260596,34.034039,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB421\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8097
-118.260557209979,34.0341066367838,8098,CB422,-118.260545,34.034102,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB422\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8098
-118.260518305728,34.0341556458419,8099,CB423,-118.260506,34.034151,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB423\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8099
-118.260468169669,34.0342181398561,8100,CB424,-118.260456,34.034213,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB424\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8100
-118.260427939362,34.0342666333664,8101,CB425,-118.260416,34.034262,IPS,3,CB,CB4,1400 S LOS ANGELES ST,Address Space: 1400 S LOS ANGELES ST\nType: IPS’\nAs of: 06/17/2015\nID: CB425\nStatus: 3,navigatela/reports/dot_parking_meter_sensors.cfm?pk=8101
